prompt,answer
"Please read this paper: F1000Research 2022, 11:1227 Last updated: 10 NOV 2023
RESEARCH ARTICLE
Activity monitoring of stroke patients by physiotherapist and
caregivers in a hospital setting[version 1; peer review: 1
approved, 1 approved with reservations, 2 not approved]
Apoorva M. Shankaranarayana1, Yakub Sameerkhan Pattan1, Nikhil Hegde1,
Manikandan Natarajan 1,2, Aparna R. Pai3, Raghavendra Nayak4,
John M. Solomon 1,2
1Department of Physiotherapy, Manipal College of Health Professions, Manipal Academy of Higher Education, Manipal, Karnataka,
576104, India
2Centre for Comprehensive Stroke Rehabilitation and Research, Manipal College of Health Professions, Manipal Academy of Higher
Education, Manipal, Karnataka, 576104, India
3Department of Neurology, Kasturba Medical College Hospital, Manipal Academy of Higher Education, Manipal, Karnataka, 576104,
India
4Department of Neurosurgery, Kasturba Medical College Hospital, Manipal Academy of Higher Education, Manipal, Karnataka,
576104, India
v1 First published: 27 Oct 2022, 11:1227 Open Peer Review
https://doi.org/10.12688/f1000research.124675.1
Latest published: 10 Nov 2023, 11:1227
https://doi.org/10.12688/f1000research.124675.2
Approval Status
1 2 3 4
Abstract
Background: Activity monitoring is a necessary technique to ensure version 2
stroke survivors’ activity levels in the hospital are within optimal levels
(revision)
as this is important for enhanced motor recovery. However, this could
10 Nov 2023
be time-consuming for healthcare professionals like physiotherapists.
Activity monitoring by caregivers could be an alternate option.
version 1
Therefore, our aim was to compare the activity monitoring of stroke 27 Oct 2022 view view view view
survivors by caregivers and physiotherapists in a hospital setting.
Methods: An observation study was carried out in the neuroscience
1. Lucian Bezuidenhout, Karolinska Institutet,
ward in a tertiary care hospital among 17 stroke survivors.
Physiotherapist and caregivers were instructed to use an activity log Stockholm, Sweden
chart that was developed during previous research conducted by the
2. Jigna Patel, Rutgers University, Newark, USA
same authors for observing the activities performed by the patients
every 15 minutes from 8 AM to 5 PM. Data collected were analysed
3. Shuanglan Lin, Chongqing Medical
using Stata 15. Kappa statistics were carried out to determine the
agreement of the observations between the two raters. University, Chongqing, China
Results: A total of 10 male and seven female caregivers of stroke
4. Ketaki Inamdar, Virginia Commonwealth
survivors with a mean age of 40.11 ± 9.2 years participated in the
study. A total of 272 observations of caregivers were in agreement University, Richmond, USA
with that of the physiotherapist. Inter-rater Kappa statistics showed
Any reports and responses or comments on the
60% agreement between the physiotherapist and the caregivers,
while the multi-rater Kappa for different time points did not show article can be found at the en and answer the following question: Is the work clearly and accurately presented and does it cite the current literature?",Partly
"Please read this paper: F1000Research 2022, 11:1227 Last updated: 10 NOV 2023
RESEARCH ARTICLE
Activity monitoring of stroke patients by physiotherapist and
caregivers in a hospital setting[version 1; peer review: 1
approved, 1 approved with reservations, 2 not approved]
Apoorva M. Shankaranarayana1, Yakub Sameerkhan Pattan1, Nikhil Hegde1,
Manikandan Natarajan 1,2, Aparna R. Pai3, Raghavendra Nayak4,
John M. Solomon 1,2
1Department of Physiotherapy, Manipal College of Health Professions, Manipal Academy of Higher Education, Manipal, Karnataka,
576104, India
2Centre for Comprehensive Stroke Rehabilitation and Research, Manipal College of Health Professions, Manipal Academy of Higher
Education, Manipal, Karnataka, 576104, India
3Department of Neurology, Kasturba Medical College Hospital, Manipal Academy of Higher Education, Manipal, Karnataka, 576104,
India
4Department of Neurosurgery, Kasturba Medical College Hospital, Manipal Academy of Higher Education, Manipal, Karnataka,
576104, India
v1 First published: 27 Oct 2022, 11:1227 Open Peer Review
https://doi.org/10.12688/f1000research.124675.1
Latest published: 10 Nov 2023, 11:1227
https://doi.org/10.12688/f1000research.124675.2
Approval Status
1 2 3 4
Abstract
Background: Activity monitoring is a necessary technique to ensure version 2
stroke survivors’ activity levels in the hospital are within optimal levels
(revision)
as this is important for enhanced motor recovery. However, this could
10 Nov 2023
be time-consuming for healthcare professionals like physiotherapists.
Activity monitoring by caregivers could be an alternate option.
version 1
Therefore, our aim was to compare the activity monitoring of stroke 27 Oct 2022 view view view view
survivors by caregivers and physiotherapists in a hospital setting.
Methods: An observation study was carried out in the neuroscience
1. Lucian Bezuidenhout, Karolinska Institutet,
ward in a tertiary care hospital among 17 stroke survivors.
Physiotherapist and caregivers were instructed to use an activity log Stockholm, Sweden
chart that was developed during previous research conducted by the
2. Jigna Patel, Rutgers University, Newark, USA
same authors for observing the activities performed by the patients
every 15 minutes from 8 AM to 5 PM. Data collected were analysed
3. Shuanglan Lin, Chongqing Medical
using Stata 15. Kappa statistics were carried out to determine the
agreement of the observations between the two raters. University, Chongqing, China
Results: A total of 10 male and seven female caregivers of stroke
4. Ketaki Inamdar, Virginia Commonwealth
survivors with a mean age of 40.11 ± 9.2 years participated in the
study. A total of 272 observations of caregivers were in agreement University, Richmond, USA
with that of the physiotherapist. Inter-rater Kappa statistics showed
Any reports and responses or comments on the
60% agreement between the physiotherapist and the caregivers,
while the multi-rater Kappa for different time points did not show article can be found at the en and answer the following question: Is the study design appropriate and is the work technically sound?",No
"Please read this paper: F1000Research 2022, 11:1227 Last updated: 10 NOV 2023
RESEARCH ARTICLE
Activity monitoring of stroke patients by physiotherapist and
caregivers in a hospital setting[version 1; peer review: 1
approved, 1 approved with reservations, 2 not approved]
Apoorva M. Shankaranarayana1, Yakub Sameerkhan Pattan1, Nikhil Hegde1,
Manikandan Natarajan 1,2, Aparna R. Pai3, Raghavendra Nayak4,
John M. Solomon 1,2
1Department of Physiotherapy, Manipal College of Health Professions, Manipal Academy of Higher Education, Manipal, Karnataka,
576104, India
2Centre for Comprehensive Stroke Rehabilitation and Research, Manipal College of Health Professions, Manipal Academy of Higher
Education, Manipal, Karnataka, 576104, India
3Department of Neurology, Kasturba Medical College Hospital, Manipal Academy of Higher Education, Manipal, Karnataka, 576104,
India
4Department of Neurosurgery, Kasturba Medical College Hospital, Manipal Academy of Higher Education, Manipal, Karnataka,
576104, India
v1 First published: 27 Oct 2022, 11:1227 Open Peer Review
https://doi.org/10.12688/f1000research.124675.1
Latest published: 10 Nov 2023, 11:1227
https://doi.org/10.12688/f1000research.124675.2
Approval Status
1 2 3 4
Abstract
Background: Activity monitoring is a necessary technique to ensure version 2
stroke survivors’ activity levels in the hospital are within optimal levels
(revision)
as this is important for enhanced motor recovery. However, this could
10 Nov 2023
be time-consuming for healthcare professionals like physiotherapists.
Activity monitoring by caregivers could be an alternate option.
version 1
Therefore, our aim was to compare the activity monitoring of stroke 27 Oct 2022 view view view view
survivors by caregivers and physiotherapists in a hospital setting.
Methods: An observation study was carried out in the neuroscience
1. Lucian Bezuidenhout, Karolinska Institutet,
ward in a tertiary care hospital among 17 stroke survivors.
Physiotherapist and caregivers were instructed to use an activity log Stockholm, Sweden
chart that was developed during previous research conducted by the
2. Jigna Patel, Rutgers University, Newark, USA
same authors for observing the activities performed by the patients
every 15 minutes from 8 AM to 5 PM. Data collected were analysed
3. Shuanglan Lin, Chongqing Medical
using Stata 15. Kappa statistics were carried out to determine the
agreement of the observations between the two raters. University, Chongqing, China
Results: A total of 10 male and seven female caregivers of stroke
4. Ketaki Inamdar, Virginia Commonwealth
survivors with a mean age of 40.11 ± 9.2 years participated in the
study. A total of 272 observations of caregivers were in agreement University, Richmond, USA
with that of the physiotherapist. Inter-rater Kappa statistics showed
Any reports and responses or comments on the
60% agreement between the physiotherapist and the caregivers,
while the multi-rater Kappa for different time points did not show article can be found at the en and answer the following question: Are sufficient details of methods and analysis provided to allow replication by others?",Partly
"Please read this paper: F1000Research 2022, 11:1227 Last updated: 10 NOV 2023
RESEARCH ARTICLE
Activity monitoring of stroke patients by physiotherapist and
caregivers in a hospital setting[version 1; peer review: 1
approved, 1 approved with reservations, 2 not approved]
Apoorva M. Shankaranarayana1, Yakub Sameerkhan Pattan1, Nikhil Hegde1,
Manikandan Natarajan 1,2, Aparna R. Pai3, Raghavendra Nayak4,
John M. Solomon 1,2
1Department of Physiotherapy, Manipal College of Health Professions, Manipal Academy of Higher Education, Manipal, Karnataka,
576104, India
2Centre for Comprehensive Stroke Rehabilitation and Research, Manipal College of Health Professions, Manipal Academy of Higher
Education, Manipal, Karnataka, 576104, India
3Department of Neurology, Kasturba Medical College Hospital, Manipal Academy of Higher Education, Manipal, Karnataka, 576104,
India
4Department of Neurosurgery, Kasturba Medical College Hospital, Manipal Academy of Higher Education, Manipal, Karnataka,
576104, India
v1 First published: 27 Oct 2022, 11:1227 Open Peer Review
https://doi.org/10.12688/f1000research.124675.1
Latest published: 10 Nov 2023, 11:1227
https://doi.org/10.12688/f1000research.124675.2
Approval Status
1 2 3 4
Abstract
Background: Activity monitoring is a necessary technique to ensure version 2
stroke survivors’ activity levels in the hospital are within optimal levels
(revision)
as this is important for enhanced motor recovery. However, this could
10 Nov 2023
be time-consuming for healthcare professionals like physiotherapists.
Activity monitoring by caregivers could be an alternate option.
version 1
Therefore, our aim was to compare the activity monitoring of stroke 27 Oct 2022 view view view view
survivors by caregivers and physiotherapists in a hospital setting.
Methods: An observation study was carried out in the neuroscience
1. Lucian Bezuidenhout, Karolinska Institutet,
ward in a tertiary care hospital among 17 stroke survivors.
Physiotherapist and caregivers were instructed to use an activity log Stockholm, Sweden
chart that was developed during previous research conducted by the
2. Jigna Patel, Rutgers University, Newark, USA
same authors for observing the activities performed by the patients
every 15 minutes from 8 AM to 5 PM. Data collected were analysed
3. Shuanglan Lin, Chongqing Medical
using Stata 15. Kappa statistics were carried out to determine the
agreement of the observations between the two raters. University, Chongqing, China
Results: A total of 10 male and seven female caregivers of stroke
4. Ketaki Inamdar, Virginia Commonwealth
survivors with a mean age of 40.11 ± 9.2 years participated in the
study. A total of 272 observations of caregivers were in agreement University, Richmond, USA
with that of the physiotherapist. Inter-rater Kappa statistics showed
Any reports and responses or comments on the
60% agreement between the physiotherapist and the caregivers,
while the multi-rater Kappa for different time points did not show article can be found at the en and answer the following question: If applicable, is the statistical analysis and its interpretation appropriate?",Yes
"Please read this paper: F1000Research 2022, 11:1227 Last updated: 10 NOV 2023
RESEARCH ARTICLE
Activity monitoring of stroke patients by physiotherapist and
caregivers in a hospital setting[version 1; peer review: 1
approved, 1 approved with reservations, 2 not approved]
Apoorva M. Shankaranarayana1, Yakub Sameerkhan Pattan1, Nikhil Hegde1,
Manikandan Natarajan 1,2, Aparna R. Pai3, Raghavendra Nayak4,
John M. Solomon 1,2
1Department of Physiotherapy, Manipal College of Health Professions, Manipal Academy of Higher Education, Manipal, Karnataka,
576104, India
2Centre for Comprehensive Stroke Rehabilitation and Research, Manipal College of Health Professions, Manipal Academy of Higher
Education, Manipal, Karnataka, 576104, India
3Department of Neurology, Kasturba Medical College Hospital, Manipal Academy of Higher Education, Manipal, Karnataka, 576104,
India
4Department of Neurosurgery, Kasturba Medical College Hospital, Manipal Academy of Higher Education, Manipal, Karnataka,
576104, India
v1 First published: 27 Oct 2022, 11:1227 Open Peer Review
https://doi.org/10.12688/f1000research.124675.1
Latest published: 10 Nov 2023, 11:1227
https://doi.org/10.12688/f1000research.124675.2
Approval Status
1 2 3 4
Abstract
Background: Activity monitoring is a necessary technique to ensure version 2
stroke survivors’ activity levels in the hospital are within optimal levels
(revision)
as this is important for enhanced motor recovery. However, this could
10 Nov 2023
be time-consuming for healthcare professionals like physiotherapists.
Activity monitoring by caregivers could be an alternate option.
version 1
Therefore, our aim was to compare the activity monitoring of stroke 27 Oct 2022 view view view view
survivors by caregivers and physiotherapists in a hospital setting.
Methods: An observation study was carried out in the neuroscience
1. Lucian Bezuidenhout, Karolinska Institutet,
ward in a tertiary care hospital among 17 stroke survivors.
Physiotherapist and caregivers were instructed to use an activity log Stockholm, Sweden
chart that was developed during previous research conducted by the
2. Jigna Patel, Rutgers University, Newark, USA
same authors for observing the activities performed by the patients
every 15 minutes from 8 AM to 5 PM. Data collected were analysed
3. Shuanglan Lin, Chongqing Medical
using Stata 15. Kappa statistics were carried out to determine the
agreement of the observations between the two raters. University, Chongqing, China
Results: A total of 10 male and seven female caregivers of stroke
4. Ketaki Inamdar, Virginia Commonwealth
survivors with a mean age of 40.11 ± 9.2 years participated in the
study. A total of 272 observations of caregivers were in agreement University, Richmond, USA
with that of the physiotherapist. Inter-rater Kappa statistics showed
Any reports and responses or comments on the
60% agreement between the physiotherapist and the caregivers,
while the multi-rater Kappa for different time points did not show article can be found at the en and answer the following question: Are all the source data underlying the results available to ensure full reproducibility?",Yes
"Please read this paper: F1000Research 2022, 11:1227 Last updated: 10 NOV 2023
RESEARCH ARTICLE
Activity monitoring of stroke patients by physiotherapist and
caregivers in a hospital setting[version 1; peer review: 1
approved, 1 approved with reservations, 2 not approved]
Apoorva M. Shankaranarayana1, Yakub Sameerkhan Pattan1, Nikhil Hegde1,
Manikandan Natarajan 1,2, Aparna R. Pai3, Raghavendra Nayak4,
John M. Solomon 1,2
1Department of Physiotherapy, Manipal College of Health Professions, Manipal Academy of Higher Education, Manipal, Karnataka,
576104, India
2Centre for Comprehensive Stroke Rehabilitation and Research, Manipal College of Health Professions, Manipal Academy of Higher
Education, Manipal, Karnataka, 576104, India
3Department of Neurology, Kasturba Medical College Hospital, Manipal Academy of Higher Education, Manipal, Karnataka, 576104,
India
4Department of Neurosurgery, Kasturba Medical College Hospital, Manipal Academy of Higher Education, Manipal, Karnataka,
576104, India
v1 First published: 27 Oct 2022, 11:1227 Open Peer Review
https://doi.org/10.12688/f1000research.124675.1
Latest published: 10 Nov 2023, 11:1227
https://doi.org/10.12688/f1000research.124675.2
Approval Status
1 2 3 4
Abstract
Background: Activity monitoring is a necessary technique to ensure version 2
stroke survivors’ activity levels in the hospital are within optimal levels
(revision)
as this is important for enhanced motor recovery. However, this could
10 Nov 2023
be time-consuming for healthcare professionals like physiotherapists.
Activity monitoring by caregivers could be an alternate option.
version 1
Therefore, our aim was to compare the activity monitoring of stroke 27 Oct 2022 view view view view
survivors by caregivers and physiotherapists in a hospital setting.
Methods: An observation study was carried out in the neuroscience
1. Lucian Bezuidenhout, Karolinska Institutet,
ward in a tertiary care hospital among 17 stroke survivors.
Physiotherapist and caregivers were instructed to use an activity log Stockholm, Sweden
chart that was developed during previous research conducted by the
2. Jigna Patel, Rutgers University, Newark, USA
same authors for observing the activities performed by the patients
every 15 minutes from 8 AM to 5 PM. Data collected were analysed
3. Shuanglan Lin, Chongqing Medical
using Stata 15. Kappa statistics were carried out to determine the
agreement of the observations between the two raters. University, Chongqing, China
Results: A total of 10 male and seven female caregivers of stroke
4. Ketaki Inamdar, Virginia Commonwealth
survivors with a mean age of 40.11 ± 9.2 years participated in the
study. A total of 272 observations of caregivers were in agreement University, Richmond, USA
with that of the physiotherapist. Inter-rater Kappa statistics showed
Any reports and responses or comments on the
60% agreement between the physiotherapist and the caregivers,
while the multi-rater Kappa for different time points did not show article can be found at the en and answer the following question: Are the conclusions drawn adequately supported by the results?",No
"Please read this paper: F1000Research 2022, 11:1227 Last updated: 10 NOV 2023
RESEARCH ARTICLE
Activity monitoring of stroke patients by physiotherapist and
caregivers in a hospital setting[version 1; peer review: 1
approved, 1 approved with reservations, 2 not approved]
Apoorva M. Shankaranarayana1, Yakub Sameerkhan Pattan1, Nikhil Hegde1,
Manikandan Natarajan 1,2, Aparna R. Pai3, Raghavendra Nayak4,
John M. Solomon 1,2
1Department of Physiotherapy, Manipal College of Health Professions, Manipal Academy of Higher Education, Manipal, Karnataka,
576104, India
2Centre for Comprehensive Stroke Rehabilitation and Research, Manipal College of Health Professions, Manipal Academy of Higher
Education, Manipal, Karnataka, 576104, India
3Department of Neurology, Kasturba Medical College Hospital, Manipal Academy of Higher Education, Manipal, Karnataka, 576104,
India
4Department of Neurosurgery, Kasturba Medical College Hospital, Manipal Academy of Higher Education, Manipal, Karnataka,
576104, India
v1 First published: 27 Oct 2022, 11:1227 Open Peer Review
https://doi.org/10.12688/f1000research.124675.1
Latest published: 10 Nov 2023, 11:1227
https://doi.org/10.12688/f1000research.124675.2
Approval Status
1 2 3 4
Abstract
Background: Activity monitoring is a necessary technique to ensure version 2
stroke survivors’ activity levels in the hospital are within optimal levels
(revision)
as this is important for enhanced motor recovery. However, this could
10 Nov 2023
be time-consuming for healthcare professionals like physiotherapists.
Activity monitoring by caregivers could be an alternate option.
version 1
Therefore, our aim was to compare the activity monitoring of stroke 27 Oct 2022 view view view view
survivors by caregivers and physiotherapists in a hospital setting.
Methods: An observation study was carried out in the neuroscience
1. Lucian Bezuidenhout, Karolinska Institutet,
ward in a tertiary care hospital among 17 stroke survivors.
Physiotherapist and caregivers were instructed to use an activity log Stockholm, Sweden
chart that was developed during previous research conducted by the
2. Jigna Patel, Rutgers University, Newark, USA
same authors for observing the activities performed by the patients
every 15 minutes from 8 AM to 5 PM. Data collected were analysed
3. Shuanglan Lin, Chongqing Medical
using Stata 15. Kappa statistics were carried out to determine the
agreement of the observations between the two raters. University, Chongqing, China
Results: A total of 10 male and seven female caregivers of stroke
4. Ketaki Inamdar, Virginia Commonwealth
survivors with a mean age of 40.11 ± 9.2 years participated in the
study. A total of 272 observations of caregivers were in agreement University, Richmond, USA
with that of the physiotherapist. Inter-rater Kappa statistics showed
Any reports and responses or comments on the
60% agreement between the physiotherapist and the caregivers,
while the multi-rater Kappa for different time points did not show article can be found at the en and answer the following question: Is the work clearly and accurately presented and does it cite the current literature?",Yes
"Please read this paper: F1000Research 2022, 11:1227 Last updated: 10 NOV 2023
RESEARCH ARTICLE
Activity monitoring of stroke patients by physiotherapist and
caregivers in a hospital setting[version 1; peer review: 1
approved, 1 approved with reservations, 2 not approved]
Apoorva M. Shankaranarayana1, Yakub Sameerkhan Pattan1, Nikhil Hegde1,
Manikandan Natarajan 1,2, Aparna R. Pai3, Raghavendra Nayak4,
John M. Solomon 1,2
1Department of Physiotherapy, Manipal College of Health Professions, Manipal Academy of Higher Education, Manipal, Karnataka,
576104, India
2Centre for Comprehensive Stroke Rehabilitation and Research, Manipal College of Health Professions, Manipal Academy of Higher
Education, Manipal, Karnataka, 576104, India
3Department of Neurology, Kasturba Medical College Hospital, Manipal Academy of Higher Education, Manipal, Karnataka, 576104,
India
4Department of Neurosurgery, Kasturba Medical College Hospital, Manipal Academy of Higher Education, Manipal, Karnataka,
576104, India
v1 First published: 27 Oct 2022, 11:1227 Open Peer Review
https://doi.org/10.12688/f1000research.124675.1
Latest published: 10 Nov 2023, 11:1227
https://doi.org/10.12688/f1000research.124675.2
Approval Status
1 2 3 4
Abstract
Background: Activity monitoring is a necessary technique to ensure version 2
stroke survivors’ activity levels in the hospital are within optimal levels
(revision)
as this is important for enhanced motor recovery. However, this could
10 Nov 2023
be time-consuming for healthcare professionals like physiotherapists.
Activity monitoring by caregivers could be an alternate option.
version 1
Therefore, our aim was to compare the activity monitoring of stroke 27 Oct 2022 view view view view
survivors by caregivers and physiotherapists in a hospital setting.
Methods: An observation study was carried out in the neuroscience
1. Lucian Bezuidenhout, Karolinska Institutet,
ward in a tertiary care hospital among 17 stroke survivors.
Physiotherapist and caregivers were instructed to use an activity log Stockholm, Sweden
chart that was developed during previous research conducted by the
2. Jigna Patel, Rutgers University, Newark, USA
same authors for observing the activities performed by the patients
every 15 minutes from 8 AM to 5 PM. Data collected were analysed
3. Shuanglan Lin, Chongqing Medical
using Stata 15. Kappa statistics were carried out to determine the
agreement of the observations between the two raters. University, Chongqing, China
Results: A total of 10 male and seven female caregivers of stroke
4. Ketaki Inamdar, Virginia Commonwealth
survivors with a mean age of 40.11 ± 9.2 years participated in the
study. A total of 272 observations of caregivers were in agreement University, Richmond, USA
with that of the physiotherapist. Inter-rater Kappa statistics showed
Any reports and responses or comments on the
60% agreement between the physiotherapist and the caregivers,
while the multi-rater Kappa for different time points did not show article can be found at the en and answer the following question: Is the study design appropriate and is the work technically sound?",Partly
"Please read this paper: F1000Research 2022, 11:1227 Last updated: 10 NOV 2023
RESEARCH ARTICLE
Activity monitoring of stroke patients by physiotherapist and
caregivers in a hospital setting[version 1; peer review: 1
approved, 1 approved with reservations, 2 not approved]
Apoorva M. Shankaranarayana1, Yakub Sameerkhan Pattan1, Nikhil Hegde1,
Manikandan Natarajan 1,2, Aparna R. Pai3, Raghavendra Nayak4,
John M. Solomon 1,2
1Department of Physiotherapy, Manipal College of Health Professions, Manipal Academy of Higher Education, Manipal, Karnataka,
576104, India
2Centre for Comprehensive Stroke Rehabilitation and Research, Manipal College of Health Professions, Manipal Academy of Higher
Education, Manipal, Karnataka, 576104, India
3Department of Neurology, Kasturba Medical College Hospital, Manipal Academy of Higher Education, Manipal, Karnataka, 576104,
India
4Department of Neurosurgery, Kasturba Medical College Hospital, Manipal Academy of Higher Education, Manipal, Karnataka,
576104, India
v1 First published: 27 Oct 2022, 11:1227 Open Peer Review
https://doi.org/10.12688/f1000research.124675.1
Latest published: 10 Nov 2023, 11:1227
https://doi.org/10.12688/f1000research.124675.2
Approval Status
1 2 3 4
Abstract
Background: Activity monitoring is a necessary technique to ensure version 2
stroke survivors’ activity levels in the hospital are within optimal levels
(revision)
as this is important for enhanced motor recovery. However, this could
10 Nov 2023
be time-consuming for healthcare professionals like physiotherapists.
Activity monitoring by caregivers could be an alternate option.
version 1
Therefore, our aim was to compare the activity monitoring of stroke 27 Oct 2022 view view view view
survivors by caregivers and physiotherapists in a hospital setting.
Methods: An observation study was carried out in the neuroscience
1. Lucian Bezuidenhout, Karolinska Institutet,
ward in a tertiary care hospital among 17 stroke survivors.
Physiotherapist and caregivers were instructed to use an activity log Stockholm, Sweden
chart that was developed during previous research conducted by the
2. Jigna Patel, Rutgers University, Newark, USA
same authors for observing the activities performed by the patients
every 15 minutes from 8 AM to 5 PM. Data collected were analysed
3. Shuanglan Lin, Chongqing Medical
using Stata 15. Kappa statistics were carried out to determine the
agreement of the observations between the two raters. University, Chongqing, China
Results: A total of 10 male and seven female caregivers of stroke
4. Ketaki Inamdar, Virginia Commonwealth
survivors with a mean age of 40.11 ± 9.2 years participated in the
study. A total of 272 observations of caregivers were in agreement University, Richmond, USA
with that of the physiotherapist. Inter-rater Kappa statistics showed
Any reports and responses or comments on the
60% agreement between the physiotherapist and the caregivers,
while the multi-rater Kappa for different time points did not show article can be found at the en and answer the following question: Are sufficient details of methods and analysis provided to allow replication by others?",Yes
"Please read this paper: F1000Research 2022, 11:1227 Last updated: 10 NOV 2023
RESEARCH ARTICLE
Activity monitoring of stroke patients by physiotherapist and
caregivers in a hospital setting[version 1; peer review: 1
approved, 1 approved with reservations, 2 not approved]
Apoorva M. Shankaranarayana1, Yakub Sameerkhan Pattan1, Nikhil Hegde1,
Manikandan Natarajan 1,2, Aparna R. Pai3, Raghavendra Nayak4,
John M. Solomon 1,2
1Department of Physiotherapy, Manipal College of Health Professions, Manipal Academy of Higher Education, Manipal, Karnataka,
576104, India
2Centre for Comprehensive Stroke Rehabilitation and Research, Manipal College of Health Professions, Manipal Academy of Higher
Education, Manipal, Karnataka, 576104, India
3Department of Neurology, Kasturba Medical College Hospital, Manipal Academy of Higher Education, Manipal, Karnataka, 576104,
India
4Department of Neurosurgery, Kasturba Medical College Hospital, Manipal Academy of Higher Education, Manipal, Karnataka,
576104, India
v1 First published: 27 Oct 2022, 11:1227 Open Peer Review
https://doi.org/10.12688/f1000research.124675.1
Latest published: 10 Nov 2023, 11:1227
https://doi.org/10.12688/f1000research.124675.2
Approval Status
1 2 3 4
Abstract
Background: Activity monitoring is a necessary technique to ensure version 2
stroke survivors’ activity levels in the hospital are within optimal levels
(revision)
as this is important for enhanced motor recovery. However, this could
10 Nov 2023
be time-consuming for healthcare professionals like physiotherapists.
Activity monitoring by caregivers could be an alternate option.
version 1
Therefore, our aim was to compare the activity monitoring of stroke 27 Oct 2022 view view view view
survivors by caregivers and physiotherapists in a hospital setting.
Methods: An observation study was carried out in the neuroscience
1. Lucian Bezuidenhout, Karolinska Institutet,
ward in a tertiary care hospital among 17 stroke survivors.
Physiotherapist and caregivers were instructed to use an activity log Stockholm, Sweden
chart that was developed during previous research conducted by the
2. Jigna Patel, Rutgers University, Newark, USA
same authors for observing the activities performed by the patients
every 15 minutes from 8 AM to 5 PM. Data collected were analysed
3. Shuanglan Lin, Chongqing Medical
using Stata 15. Kappa statistics were carried out to determine the
agreement of the observations between the two raters. University, Chongqing, China
Results: A total of 10 male and seven female caregivers of stroke
4. Ketaki Inamdar, Virginia Commonwealth
survivors with a mean age of 40.11 ± 9.2 years participated in the
study. A total of 272 observations of caregivers were in agreement University, Richmond, USA
with that of the physiotherapist. Inter-rater Kappa statistics showed
Any reports and responses or comments on the
60% agreement between the physiotherapist and the caregivers,
while the multi-rater Kappa for different time points did not show article can be found at the en and answer the following question: If applicable, is the statistical analysis and its interpretation appropriate?",Yes
